"Gpu"
"GeForce GTX 750"
"GeForce GTX 950"
"GeForce GTX 960"
"GeForce GTX 965M"
"GeForce GTX 960 Ti" 
"GeForce GTX 980"
"GeForce GTX 980 Ti"
"GeForce GTX Titan X"
"GeForce GTX 1050"
"GeForce GTX 1050 Ti"
"GeForce GTX 1060"
"GeForce GTX 1060"
"GeForce GTX 1070M"
"GeForce GTX 1080M"
"GeForce GTX 1070"
"GeForce GTX 1070Ti"
"GeForce GTX 1080"
"GeForce GTX 1080 Ti"
"GeForce GTX Titan X"
"GeForce GTX Titan Xp"
"Titan V"
"GeForce GTX 1650 Max-Q"
"GeForce GTX 1650 GDDR5"
"GeForce GTX 1650 GDDR6"
"GeForce GTX 1650 GDDR6"
"GeForce GTX 1650 SUPER"
"GeForce GTX 1660 Ti Max-Q"
"GeForce GTX 1660 Ti" 
"GeForce GTX 1660"
"GeForce GTX 1660 SUPER"
"GeForce RTX 2060"
"GeForce GTX 2070"
"GeForce RTX 2060 SUPER"
"GeForce RTX 2060 (TU104)"
"GeForce RTX 2070 Max-Q"
"GeForce RTX 2070 SUPER"
"GeForce RTX 2080"
"GeForce RTX 2080 Max-Q"
"GeForce RTX 2080 SUPER"
"GeForce RTX 2080 Ti"
"Titan RTX"
"GeForce RTX 3060"
"GeForce RTX 3060 Ti"
"GeForce RTX 3070"
"GeForce RTX 3070 Ti"
"GeForce RTX 3080"
"GeForce RTX 3080 Ti"
"GeForce RTX 3090"
"Quadro P1000"
"Radeon RX 6950 XT"
"Radeon RX 6900 XT"
"Radeon RX 6800 XT"
"Radeon RX 6800"
"Radeon RX 6750 XT"
"Radeon RX 6700 XT"
"Radeon VII"
"Radeon RX 6600 XT"
"Radeon RX 5700 XT"
"Radeon Pro W5700"
"Radeon RX 5700"
"Radeon RX Vega 64"
"Radeon RX 5600 XT"
"Radeon RX Vega 56"
"Radeon PRO WX 8200"
"Radeon RX 6500 XT"
"Radeon RX 5500 XT"
"Radeon RX 590"
"Radeon RX 580"
"Radeon RX 570"
"Radeon RX 560"
